Year,Gold_Value_In_Rubles
2013,44791.20054311803
2014,47659.876665603166
2015,70151.21571664493
2016,61629.45414798059
2017,73450.440053803
2018,79423.06481707597
2019,90385.41280287637
2020,127847.09175307302
2021,132566.23276479746
2022,121960.76280708623
