Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,0.032785,0.032785,0.032646,0.032785,0.032785,0
2013-01-02,0.032942,0.033231,0.032689,0.032963,0.032963,0
2013-01-03,0.033160,0.033232,0.032934,0.033160,0.033160,0
2013-01-04,0.033025,0.033100,0.032711,0.033035,0.033035,0
2013-01-07,0.033019,0.033105,0.032806,0.033019,0.033019,0
2013-01-08,0.033026,0.033122,0.032903,0.032939,0.032939,0
2013-01-09,0.033001,0.033054,0.032809,0.033031,0.033031,0
2013-01-10,0.032919,0.033116,0.032886,0.032956,0.032956,0
2013-01-11,0.033190,0.033265,0.032949,0.033190,0.033190,0
2013-01-14,0.033042,0.033160,0.032976,0.033042,0.033042,0
2013-01-15,0.033078,0.033206,0.033014,0.033171,0.033171,0
2013-01-16,0.032974,0.033072,0.032866,0.033008,0.033008,0
2013-01-17,0.032984,0.033102,0.032926,0.033003,0.033003,0
2013-01-18,0.033154,0.033188,0.032988,0.033156,0.033156,0
2013-01-21,0.033069,0.033148,0.033003,0.033069,0.033069,0
2013-01-22,0.033126,0.033221,0.033040,0.033052,0.033052,0
2013-01-23,0.033089,0.033207,0.033056,0.033095,0.033095,0
2013-01-24,0.033172,0.033289,0.033118,0.033160,0.033160,0
2013-01-25,0.033276,0.033379,0.033240,0.033345,0.033345,0
2013-01-28,0.033348,0.033380,0.033137,0.033348,0.033348,0
2013-01-29,0.033205,0.033296,0.033136,0.033205,0.033205,0
2013-01-30,0.033288,0.033382,0.033272,0.033330,0.033330,0
2013-01-31,0.033313,0.033420,0.033236,0.033298,0.033298,0
2013-02-01,0.033354,0.033620,0.033293,0.033330,0.033330,0
2013-02-04,0.033496,0.033529,0.033323,0.033464,0.033464,0
2013-02-05,0.033386,0.033394,0.033163,0.033262,0.033262,0
2013-02-06,0.033442,0.033454,0.033236,0.033442,0.033442,0
2013-02-07,0.033276,0.033368,0.033072,0.033276,0.033276,0
2013-02-08,0.033159,0.033269,0.033061,0.033159,0.033159,0
2013-02-11,0.033141,0.033373,0.033106,0.033172,0.033172,0
2013-02-12,0.033206,0.033313,0.033132,0.033237,0.033237,0
2013-02-13,0.033340,0.033364,0.033250,0.033340,0.033340,0
2013-02-14,0.033293,0.033347,0.033163,0.033293,0.033293,0
2013-02-15,0.033282,0.033306,0.033153,0.033282,0.033282,0
2013-02-18,0.033220,0.033320,0.033174,0.033227,0.033227,0
2013-02-19,0.033215,0.033274,0.033176,0.033215,0.033215,0
2013-02-20,0.033288,0.033356,0.033228,0.033288,0.033288,0
2013-02-21,0.033071,0.033173,0.032880,0.033106,0.033106,0
2013-02-22,0.032836,0.033014,0.032820,0.032899,0.032899,0
2013-02-25,0.032980,0.033095,0.032912,0.032977,0.032977,0
2013-02-26,0.032735,0.032835,0.032614,0.032734,0.032734,0
2013-02-27,0.032698,0.032770,0.032636,0.032699,0.032699,0
2013-02-28,0.032849,0.032890,0.032661,0.032849,0.032849,0
2013-03-01,0.032673,0.032738,0.032504,0.032634,0.032634,0
2013-03-04,0.032646,0.032650,0.032459,0.032646,0.032646,0
2013-03-05,0.032540,0.032665,0.032529,0.032541,0.032541,0
2013-03-06,0.032689,0.032758,0.032522,0.032710,0.032710,0
2013-03-07,0.032524,0.032639,0.032473,0.032557,0.032557,0
2013-03-08,0.032593,0.032659,0.032466,0.032592,0.032592,0
2013-03-11,0.032527,0.032573,0.032474,0.032512,0.032512,0
2013-03-12,0.032592,0.032656,0.032491,0.032592,0.032592,0
2013-03-13,0.032581,0.032692,0.032478,0.032576,0.032576,0
2013-03-14,0.032484,0.032551,0.032458,0.032494,0.032494,0
2013-03-15,0.032586,0.032686,0.032519,0.032549,0.032549,0
2013-03-18,0.032396,0.032672,0.032365,0.032394,0.032394,0
2013-03-19,0.032517,0.032555,0.032351,0.032454,0.032454,0
2013-03-20,0.032306,0.032446,0.032257,0.032306,0.032306,0
2013-03-21,0.032401,0.032484,0.032300,0.032481,0.032481,0
2013-03-22,0.032328,0.032452,0.032297,0.032328,0.032328,0
2013-03-25,0.032771,0.032771,0.032353,0.032545,0.032545,0
2013-03-26,0.032344,0.032463,0.032332,0.032346,0.032346,0
2013-03-27,0.032409,0.032475,0.032193,0.032412,0.032412,0
2013-03-28,0.032226,0.032333,0.032156,0.032200,0.032200,0
2013-03-29,0.032203,0.032295,0.032146,0.032203,0.032203,0
2013-04-01,0.032248,0.032285,0.032118,0.032248,0.032248,0
2013-04-02,0.032196,0.032273,0.031937,0.032237,0.032237,0
2013-04-03,0.031925,0.032003,0.031636,0.031981,0.031981,0
2013-04-04,0.031646,0.031759,0.031499,0.031627,0.031627,0
2013-04-05,0.031655,0.031763,0.031561,0.031703,0.031703,0
2013-04-08,0.031649,0.032035,0.031593,0.031649,0.031649,0
2013-04-09,0.032126,0.032209,0.031981,0.032062,0.032062,0
2013-04-10,0.032256,0.032470,0.032193,0.032256,0.032256,0
2013-04-11,0.032372,0.032506,0.032326,0.032433,0.032433,0
2013-04-12,0.032467,0.032477,0.032158,0.032467,0.032467,0
2013-04-15,0.032214,0.032239,0.031795,0.032210,0.032210,0
2013-04-16,0.031802,0.031965,0.031738,0.031802,0.031802,0
2013-04-17,0.032019,0.032079,0.031452,0.032018,0.032018,0
2013-04-18,0.031416,0.031730,0.031368,0.031416,0.031416,0
2013-04-19,0.031753,0.031860,0.031622,0.031753,0.031753,0
2013-04-22,0.031634,0.031731,0.031558,0.031629,0.031629,0
2013-04-23,0.031746,0.031748,0.031460,0.031746,0.031746,0
2013-04-24,0.031629,0.031819,0.031624,0.031629,0.031629,0
2013-04-25,0.031840,0.032180,0.031817,0.031829,0.031829,0
2013-04-26,0.032130,0.032209,0.031916,0.032129,0.032129,0
2013-04-29,0.032063,0.032378,0.031947,0.032064,0.032064,0
2013-04-30,0.032329,0.032400,0.032125,0.032331,0.032331,0
2013-05-01,0.032257,0.032279,0.031899,0.032258,0.032258,0
2013-05-02,0.031962,0.032095,0.031862,0.031962,0.031962,0
2013-05-03,0.032132,0.032308,0.032085,0.032121,0.032121,0
2013-05-06,0.032199,0.032292,0.032141,0.032199,0.032199,0
2013-05-07,0.032286,0.032357,0.032163,0.032286,0.032286,0
2013-05-08,0.032196,0.032263,0.032086,0.032196,0.032196,0
2013-05-09,0.032162,0.032214,0.032066,0.032163,0.032163,0
2013-05-10,0.032113,0.032129,0.031778,0.032116,0.032116,0
2013-05-13,0.031869,0.031972,0.031795,0.031882,0.031882,0
2013-05-14,0.031941,0.032039,0.031871,0.031989,0.031989,0
2013-05-15,0.031885,0.031955,0.031721,0.031948,0.031948,0
2013-05-16,0.031813,0.031997,0.031763,0.031803,0.031803,0
2013-05-17,0.031909,0.031926,0.031791,0.031909,0.031909,0
2013-05-20,0.031840,0.032038,0.031782,0.031840,0.031840,0
2013-05-21,0.032019,0.032111,0.031947,0.032020,0.032020,0
2013-05-22,0.032040,0.032208,0.031802,0.032039,0.032039,0
2013-05-23,0.031901,0.031948,0.031732,0.031901,0.031901,0
2013-05-24,0.031889,0.031997,0.031795,0.031889,0.031889,0
2013-05-27,0.031995,0.032103,0.031884,0.032057,0.032057,0
2013-05-28,0.031924,0.031953,0.031758,0.031914,0.031914,0
2013-05-29,0.031763,0.031856,0.031654,0.031763,0.031763,0
2013-05-30,0.031651,0.031719,0.031476,0.031651,0.031651,0
2013-05-31,0.031589,0.031590,0.031258,0.031589,0.031589,0
2013-06-03,0.031347,0.031416,0.031130,0.031350,0.031350,0
2013-06-04,0.031458,0.031475,0.031281,0.031471,0.031471,0
2013-06-05,0.031334,0.031399,0.031081,0.031349,0.031349,0
2013-06-06,0.031144,0.031228,0.030957,0.031093,0.031093,0
2013-06-07,0.031140,0.031282,0.030864,0.031140,0.031140,0
2013-06-10,0.031140,0.031282,0.030864,0.031140,0.031140,0
2013-06-11,0.031011,0.031018,0.030763,0.031011,0.031011,0
2013-06-12,0.030890,0.031131,0.030877,0.030890,0.030890,0
2013-06-13,0.031110,0.031311,0.030899,0.031110,0.031110,0
2013-06-14,0.031351,0.031631,0.031271,0.031351,0.031351,0
2013-06-17,0.031544,0.031757,0.031464,0.031544,0.031544,0
2013-06-18,0.031521,0.031521,0.031169,0.031522,0.031522,0
2013-06-19,0.031286,0.031309,0.030971,0.031286,0.031286,0
2013-06-20,0.030831,0.030863,0.030385,0.030831,0.030831,0
2013-06-21,0.030423,0.030658,0.030359,0.030423,0.030423,0
2013-06-24,0.030534,0.030534,0.030318,0.030534,0.030534,0
2013-06-25,0.030562,0.030646,0.030369,0.030562,0.030562,0
2013-06-26,0.030569,0.030685,0.030295,0.030569,0.030569,0
2013-06-27,0.030358,0.030573,0.030354,0.030358,0.030358,0
2013-06-28,0.030496,0.030669,0.030376,0.030496,0.030496,0
2013-07-01,0.030478,0.030750,0.030290,0.030478,0.030478,0
2013-07-02,0.030335,0.030412,0.030210,0.030335,0.030335,0
2013-07-03,0.030155,0.030236,0.030034,0.030155,0.030155,0
2013-07-04,0.030172,0.030227,0.030061,0.030172,0.030172,0
2013-07-05,0.030198,0.030255,0.029988,0.030198,0.030198,0
2013-07-08,0.030036,0.030099,0.029997,0.030036,0.030036,0
2013-07-09,0.030138,0.030377,0.030131,0.030138,0.030138,0
2013-07-10,0.030322,0.030463,0.030287,0.030322,0.030322,0
2013-07-11,0.030709,0.030803,0.030389,0.030734,0.030734,0
2013-07-12,0.030714,0.030859,0.030513,0.030714,0.030714,0
2013-07-15,0.030744,0.030751,0.030577,0.030754,0.030754,0
2013-07-16,0.030715,0.030865,0.030687,0.030715,0.030715,0
2013-07-17,0.030861,0.030955,0.030786,0.030861,0.030861,0
2013-07-18,0.030988,0.031038,0.030828,0.030963,0.030963,0
2013-07-19,0.030822,0.030926,0.030803,0.030822,0.030822,0
2013-07-22,0.030913,0.031051,0.030883,0.030913,0.030913,0
2013-07-23,0.030960,0.031019,0.030854,0.030946,0.030946,0
2013-07-24,0.031053,0.031053,0.030828,0.031053,0.031053,0
2013-07-25,0.030848,0.030863,0.030632,0.030848,0.030848,0
2013-07-26,0.030675,0.030795,0.030442,0.030675,0.030675,0
2013-07-29,0.030539,0.030950,0.030417,0.030539,0.030539,0
2013-07-30,0.030465,0.030524,0.030324,0.030465,0.030465,0
2013-07-31,0.030373,0.030405,0.030248,0.030373,0.030373,0
2013-08-01,0.030374,0.030441,0.030215,0.030374,0.030374,0
2013-08-02,0.030273,0.030536,0.030207,0.030273,0.030273,0
2013-08-05,0.030477,0.030496,0.030381,0.030477,0.030477,0
2013-08-06,0.030435,0.030475,0.030335,0.030435,0.030435,0
2013-08-07,0.030346,0.030352,0.030220,0.030346,0.030346,0
2013-08-08,0.030365,0.030494,0.030308,0.030365,0.030365,0
2013-08-09,0.030473,0.030574,0.030394,0.030473,0.030473,0
2013-08-12,0.030445,0.030488,0.030295,0.030445,0.030445,0
2013-08-13,0.030310,0.030372,0.030187,0.030310,0.030310,0
2013-08-14,0.030267,0.030321,0.030145,0.030267,0.030267,0
2013-08-15,0.030277,0.030436,0.030236,0.030277,0.030277,0
2013-08-16,0.030404,0.030496,0.030325,0.030404,0.030404,0
2013-08-19,0.030428,0.030432,0.030333,0.030428,0.030428,0
2013-08-20,0.030345,0.030389,0.030291,0.030345,0.030345,0
2013-08-21,0.030382,0.030426,0.030227,0.030382,0.030382,0
2013-08-22,0.030194,0.030281,0.030105,0.030194,0.030194,0
2013-08-23,0.030275,0.030348,0.030245,0.030275,0.030275,0
2013-08-26,0.030294,0.030383,0.030288,0.030294,0.030294,0
2013-08-27,0.030254,0.030489,0.030083,0.030254,0.030254,0
2013-08-28,0.030348,0.030348,0.030066,0.030348,0.030348,0
