"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","4.03225805628628","1.07396640826829","3.64304545817706","3.12186849610723","3.99162804604575","5.83668775158166","5.55555555555579","3.8733753699648","5.2155599603571","6.3110797127044","3.36139107320899","3.22528797213979","2.99994809778412","1.86948853615541","2.28037198258753","4.04402131190513","2.88360430316264","3.31524678585423","3.65636507938418","2.52912946932762","3.39778677828806","3.60802438784541","5.39256784475517","8.95598705177784","-2.13542872046937","2.07814071860787","4.31629742195203","0.627471992893373","-2.37206524252261","0.421440918881214","0.474763597342641","-0.931195987079561","-1.02828178762012","3.62604141352961","4.25746204335428","","","",
"Africa Eastern and Southern","AFE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","19.5983935742148","15.2240989352891","11.2164713172617","14.2380554942682","12.52689251464","15.0698498241015","15.0665115372509","14.4615910742107","12.1399176954734","11.5675243834069","10.9838625715774","13.0065664218827","13.8919716455565","12.5634432211069","12.5222539355744","12.5582020707012","12.4579139789566","17.6781002638523","16.1676123963339","13.1356607683724","14.8528149833969","12.2885912601426","9.70658632526504","10.2495987403067","7.4952560069557","7.81986477630863","8.60148514851491","5.84035398311554","8.76375366426173","7.44970014007366","5.02342068616285","8.55803802239778","8.89816380214036","8.45077480634999","12.5666446595158","8.95421802392948","5.53753791645677","8.97120640995787","9.15870715471663","5.75098133352471","5.37028961008587","5.24587835022461","6.57139642173964","6.39934341569383","4.72081138877301","4.65366473106483","7.32110643415521","6.82472709282067","10.7737512242898",
"Afghanistan","AFG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6862687216715","6.78459655001657","8.68057078513405","26.4186641547445","-6.81116108898993","2.17853752389414","11.8041858089129","6.44121280934117","7.38577178397855","4.67399603536305","-0.66170916471352","4.38389195513893","4.97595150553892","0.626149149168983","2.30237251516819","","","",
"Africa Western and Central","AFW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","8.79921083308773","12.0597652081337","10.6719367588934","11.2499999999997","7.3549257759783","5.9509649994662","0.248788555354758","2.52365930599391","0.869287022608289","1.05736139457208","1.74188785932665","-0.0629990064786939","0.553455723541917","31.8410168416385","10.5632886691814","4.91423972637201","3.99714170439302","4.47112543851098","0.372266170311928","2.53077516737987","4.36152914007262","3.18869330220589","1.76090410099628","0.694336305945746","5.63163351357613","4.41589984169561","3.60736767984597","8.45297623326759","3.2824403758932","1.78484420477113","4.01869907534494","4.57837463515948","2.43920076104131","1.76843582146209","2.13081738058791","1.48741550755532","1.76463495159583","1.78404994832039","1.76011151192938","2.43760882182235","3.65353287214209","7.96757361617885",
"Angola","AGO","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.7837837837837","299.509803921569","1378.52760736196","949.792531120332","2666.45059288538","4145.10598220638","219.176721172974","107.284821528298","248.195902412868","324.996871601321","152.561022469299","108.897436089429","98.2241436573302","43.5421067519688","22.9535138513941","13.305210178003","12.2514974459485","12.4758291326401","13.7302839288409","14.4696564932576","13.4824679218514","10.2779049218837","8.77781429332616","7.28038730361129","9.35383972513749","30.6989578589226","29.8425777887099","19.6305943641961","17.0797044074953","22.2715643068878","25.7542656453085","",
"Albania","ALB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226.005421253526","85.0047512387156","22.5650526933696","7.79321853789217","12.7254778087103","33.1802743753956","20.6428588670596","0.389437653561617","0.0500181363468309","3.10758827031434","7.77052583431552","0.48400261181847","2.28001916938101","2.36658195679796","2.37072831904282","2.93268248162323","3.32087090389264","2.26692209450831","3.62604695579816","3.42912324722163","2.03159268395301","1.93762080205229","1.6258650440261","1.89617402592365","1.2754316836741","1.98666133171199","2.02805963071136","1.41109078954246","1.62088661717011","2.04147163139549","6.72520271530049",
"Andorra","AND","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","8.26666666600006","15.5282817502668","9.66969548151245","10.3174158877413","11.989283322105","9.7160327495434","","9.62605664613178","10.7585034160145","8.33125575581156","5.4936655143209","8.116397955171","7.25436179981635","7.4333333333332","4.22241666240751","5.91154496373489","7.74088603961336","8.45146240803882","9.00000000000003","9.35975158953135","9.37034415971461","5.11259890444314","6.54379068524171","4.68130623916413","3.60116103260946","3.417319489758","2.66937369053699","1.85379035325277","1.77220437351017","1.8329938900205","2.71259247474352","3.63228004956625","3.49368534619531","3.54498591605033","4.74390639021648","11.2706652380848","2.92089711805361","3.91106195534028","4.7531638888566","4.6118443220664","3.2381083391407","2.64755321246189","1.83135233156368","2.37271603075831","2.06932928164433","2.76275077032944","1.04883403678997","1.61222220402452","2.96581008346283","4.99502075060902",
"United Arab Emirates","ARE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2504202448139","1.5618131744906","0.877983288286","0.87734659568502","0.662268900269108","1.1011183637571","2.34626865671633","4.06996608361603","1.61748808904189","1.9668255781886","3.06863379252005","-1.93108114782155","-2.07940317940978","-0.0138599444012243","4.82788859594475",
"Argentina","ARG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
