Year,Gold_Price_Euros
2013,1061.169284460932
2014,952.7160419903792
2015,1044.1484800037754
2016,1130.0802166003728
2017,1116.1203556951107
2018,1076.6595614982434
2019,1248.2040487007366
2020,1557.743163965801
2021,1521.0833043159707
2022,1712.8468886239855
