Year,Open_Avg,High_Avg,Low_Avg,Close_Avg,Adj Close_Avg,Volume_Avg
2013,1.3281003615384614,1.332223453846154,1.3239962923076922,1.3281115307692306,1.3281115307692306,0.0
2014,1.3290881379310344,1.3321284137931035,1.32566753256705,1.3290993409961687,1.3290993409961687,0.0
2015,1.1103919272030651,1.1156822490421456,1.1051412720306513,1.1103866130268198,1.1103866130268198,0.0
2016,1.1070902490421457,1.1110832643678161,1.1031852605363985,1.1071101302681992,1.1071101302681992,0.0
2017,1.129314945736434,1.132780042635659,1.1261673953488374,1.1293302519379846,1.1293302519379846,0.0
2018,1.1813159501915709,1.1849813218390806,1.1775847547892722,1.1813304252873564,1.1813304252873564,0.0
2019,1.1198087076923076,1.1221067346153846,1.1173335615384616,1.1198352923076922,1.1198352923076922,0.0
2020,1.1417895725190839,1.1456466183206109,1.1381175152671754,1.141856099236641,1.141856099236641,0.0
2021,1.1831698888888889,1.1857826130268199,1.1801458544061303,1.1832185823754788,1.1832185823754788,0.0
2022,1.0536517807692307,1.0581139307692309,1.0490756538461539,1.0536538346153845,1.0536538346153845,0.0
